Country Name,Country Code,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Anguilla,AIA,WGI_DUMMY,,,,,,,,,,,,,,1.143317938,1.633369088,1.586802006,1.619831324,1.659485817,1.393182516,1.375304103,1.35215795,1.357940316,1.360590219,0.019559711,-0.080455467,-0.123508617,-0.146304742,-0.142874256,0.300148159,0.373447895,0.383823067,0.428014487,0.683675647,
Anguilla,AIA,WGI_DUMMY,,,,,,,,,,,,,,0.907688737,1.111617446,1.34977591,1.378267288,1.398588419,1.405673504,1.389426827,1.36641407,1.321213126,1.319419265,0.880748272,0.898378432,0.860476732,0.831705511,0.813936293,0.83512485,0.93036598,0.946981251,0.972116888,0.931279719,
Anguilla,AIA,WGI_DUMMY,,,,,,,,,,,,,,0.854418099,0.903781235,1.017273426,0.972128868,0.967198193,0.963811636,0.988284409,1.009051681,1.025671721,1.004731417,1.004731417,1.004731417,1.004731417,1.004731417,1.004731417,1.004731417,1.004731417,1.004731417,1.004731417,1.004731417,
Antigua and Barbuda,ATG,WGI_DUMMY,,,,,,0.869897187,,0.883366406,,0.861537576,,0.850210369,0.854120076,0.839856029,0.742446184,1.11961627,1.146967053,1.27677536,1.317764997,1.301772714,1.272298098,1.260530829,1.253580928,0.634795427,0.64260906,0.645367682,0.197911337,0.236501798,0.239614844,0.239038527,0.231868863,0.310727566,0.326792687,
Antigua and Barbuda,ATG,WGI_DUMMY,,,,,,0.644922495,,0.652145922,,0.618822575,,0.568053842,0.576729536,0.540320277,0.447557688,0.407992005,0.399155051,0.498479098,0.497974843,0.487727553,0.481366098,0.481229633,0.486766905,-0.070879743,0.183234006,0.217992216,-0.036111854,-0.053542044,-0.054800943,-0.204794809,-0.193900943,-0.160002664,0.38041082,
Antigua and Barbuda,ATG,WGI_DUMMY,,,,,,0.717076898,,0.728511989,,0.713235021,,0.792559922,0.865690112,1.084635615,0.830512524,0.799820721,0.802670181,0.813891828,0.721793532,0.904999375,0.957588255,0.975788057,0.958863378,0.984550714,0.987564266,0.859249651,0.732060909,0.823102117,0.938079655,0.929578841,0.949669898,0.938082099,0.92339325,
Antigua and Barbuda,ATG,WGI_DUMMY,,,,,,1.050844908,,1.053563118,,1.034903526,,1.034552217,1.037949681,0.908433735,0.659244239,0.921211839,0.893503189,0.937939405,0.972667456,0.952869892,0.942094743,0.945719004,0.831786811,-0.1757842,0.553076863,0.472716421,0.407018989,0.376433492,0.363515615,0.407381147,0.303150535,0.390787125,0.378593177,
Antigua and Barbuda,ATG,WGI_DUMMY,,,,,,0.786901176,,0.77318567,,0.751229942,,0.698325157,0.682984054,0.582346559,0.584638536,0.547179878,0.530372381,0.642759264,0.653302133,0.642825544,0.631379724,0.599272251,0.601454556,0.529373944,0.355818599,0.328430951,0.237126812,0.401309967,0.470356703,0.497693717,0.374506027,0.289086968,0.54603678,
Antigua and Barbuda,ATG,WGI_DUMMY,,,,,,0.333532423,,0.339321405,,0.390961945,,0.336637646,0.317483664,0.57303077,0.533180177,0.631312013,0.543636024,0.573908567,0.589427829,0.495849043,0.511174679,0.640056968,0.61894691,0.558705986,0.594934702,0.633536577,0.608409464,0.578873873,0.731440127,0.741594791,0.729783952,0.72455281,0.741840482,
Argentina,ARG,WGI_DUMMY,,,,,,-0.101317152,,-0.2034816,,-0.172407657,,-0.417055726,-0.479976803,-0.414409548,-0.377738357,-0.331238538,-0.372122079,-0.434875011,-0.445475101,-0.355230033,-0.364098519,-0.445909202,-0.434306711,-0.549791396,-0.581265271,-0.299235553,-0.309002459,-0.099273928,-0.107116245,-0.163570061,-0.422596842,-0.447221607,-0.360883951,
Argentina,ARG,WGI_DUMMY,,,,,,0.16569005,,0.328712493,,-0.028038694,,-0.228479072,-0.034219984,0.015197393,-0.097979061,-0.033916309,-0.012532503,-0.123509347,-0.294032037,-0.111791946,-0.072361067,-0.206967011,-0.254236966,-0.111114293,-0.04947561,0.218796372,0.135085613,0.028060619,-0.120795332,-0.254261822,-0.390557259,-0.283489704,-0.377517343,
Argentina,ARG,WGI_DUMMY,,,,,,0.111376882,,-0.13464959,,0.095823877,,-0.776545405,-0.359838128,-0.610934913,-0.041774943,0.001967763,0.097796634,-0.087755688,-0.234854579,-0.084797867,0.158993661,0.103040546,0.065314263,-0.005121871,0.008764135,0.197749898,0.162542164,0.006909812,-0.097823091,-0.071997404,0.000530059,-0.09859433,-0.127517909,
Argentina,ARG,WGI_DUMMY,,,,,,0.075552642,,-0.038881578,,-0.214404494,,-0.761098087,-0.777115822,-0.767380178,-0.557991087,-0.577015638,-0.601472259,-0.699731648,-0.694468081,-0.598094225,-0.563123286,-0.623034239,-0.656328619,-0.866627336,-0.748635888,-0.320159525,-0.237312034,-0.21933043,-0.427360445,-0.486265957,-0.477947891,-0.48235181,-0.410826534,
Argentina,ARG,WGI_DUMMY,,,,,,0.51806742,,0.521346211,,0.182292387,,-0.880716562,-0.69147563,-0.6980353,-0.525074363,-0.614566982,-0.63569355,-0.702629447,-0.830836773,-0.742940903,-0.701964378,-0.897686779,-0.928134799,-1.066149592,-0.898022354,-0.347571164,-0.196430206,-0.195977628,-0.4530797,-0.498344272,-0.631172717,-0.697565734,-0.482535392,
Argentina,ARG,WGI_DUMMY,,,,,,0.391903371,,0.308850229,,0.418346971,,0.260062754,0.349125266,0.362040877,0.269231617,0.403436542,0.448621333,0.358895928,0.280091494,0.361670136,0.344941825,0.295209914,0.276933551,0.345271766,0.411758155,0.493263662,0.5287081,0.539252579,0.570874631,0.584501207,0.61077702,0.546316981,0.533921838,
Armenia,ARM,WGI_DUMMY,,,,,,-0.47305131,,-0.936306059,,-0.848086238,,-0.778165162,-0.6490224,-0.703455329,-0.683349848,-0.669232607,-0.74589169,-0.712412357,-0.621459663,-0.69503957,-0.664559424,-0.58800149,-0.530533433,-0.565446794,-0.609746635,-0.659795225,-0.637015164,-0.409369439,-0.227039859,-0.003474974,0.048684645,0.027907174,0.058399647,
Armenia,ARM,WGI_DUMMY,,,,,,-0.380564451,,-0.546766698,,-0.546417594,,-0.045769267,-0.197253704,-0.118263446,-0.142497808,-0.261502922,-0.381906569,-0.177952588,-0.026895642,-0.171523154,-0.115028307,-0.032386623,0.078317285,-0.257329762,-0.331789613,-0.312554419,-0.251550019,-0.170582667,-0.226045966,-0.304547429,-0.282197446,-0.314792365,-0.184129968,
Armenia,ARM,WGI_DUMMY,,,,,,-0.364998609,,-0.662787318,,-0.682867944,,-0.255784124,0.236966237,-0.116337486,-0.066335395,-0.26102376,0.150905833,-0.006853028,0.227863356,0.071855329,-0.063868985,0.154794976,0.110385142,-0.2971358,-0.256798655,-0.667951107,-0.626211166,-0.451066911,-0.420024991,-0.77164489,-0.804041028,-0.740756273,-0.829278231,
Armenia,ARM,WGI_DUMMY,,,,,,-0.469098508,,-0.380856782,,-0.501016259,,-0.438531369,-0.302864641,-0.481950611,-0.388776749,-0.544567347,-0.496518046,-0.337751359,-0.468710691,-0.48135832,-0.437706411,-0.418281972,-0.340888947,-0.417726755,-0.462551326,-0.160894498,-0.209393919,-0.197214365,-0.177464515,-0.125831425,-0.119838461,-0.169515803,-0.12201798,
Armenia,ARM,WGI_DUMMY,,,,,,-0.282764524,,-0.252395779,,-0.172101572,,0.056333646,0.167570353,0.109250002,0.089062668,0.292330682,0.265207171,0.300939858,0.27345407,0.268946558,0.246940598,0.334273398,0.235182688,0.158519909,0.189176843,0.205158383,0.228397325,0.350590289,0.242604271,0.238748029,0.131828442,-0.019078802,0.047635019,
Armenia,ARM,WGI_DUMMY,,,,,,-0.569909096,,-0.33551845,,-0.374595284,,-0.444421142,-0.467406183,-0.572165549,-0.591363311,-0.742222786,-0.759377897,-0.857629657,-0.876420259,-0.847521544,-0.690779805,-0.570491433,-0.588099241,-0.562132001,-0.536273837,-0.579092622,-0.560670435,-0.130965158,0.054788209,0.047347892,0.054160796,0.090325817,0.076707557,
Aruba,ABW,WGI_DUMMY,,,,,,,,,,,,,,1.165965319,1.269663095,1.25131321,1.26187098,1.27677536,1.109147549,1.121295571,1.10294652,1.095235944,1.119600654,1.014001012,1.248301148,1.232693315,1.23961401,1.207401395,1.174430847,1.198827386,0.800938904,0.756486595,0.709075332,
Aruba,ABW,WGI_DUMMY,,,,,,,,,,,,,,1.28138864,1.287598014,1.27981782,1.246601224,1.270924687,1.496656418,1.246453404,1.236430407,1.247588158,1.221081257,0.887494266,0.847599268,0.85290575,0.875969708,1.013412714,0.987693906,1.074959755,1.083876252,1.105213404,0.795440853,
Aruba,ABW,WGI_DUMMY,,,,,,,,,,,,,,0.993218184,1.376415968,1.303460598,1.286568522,1.316395998,1.121554255,1.100847363,1.285737753,1.263881564,1.312226295,1.164567828,1.21023953,1.260758519,1.313845992,1.337509871,1.335807323,1.37159121,1.431726694,1.483079791,1.432524562,
Aruba,ABW,WGI_DUMMY,,,,,,,,,,,,,,0.915526807,0.847438395,0.810431302,0.826464057,0.847226143,1.426206708,1.416113615,1.322458386,1.309788346,1.292633176,1.036424875,1.227137923,1.226648092,1.295842648,1.259654045,1.22834599,1.270599604,1.246665835,1.278026104,1.270206809,
Aruba,ABW,WGI_DUMMY,,,,,,,,,,,,,,0.762953818,0.864074349,0.855286777,0.877206326,0.894702375,1.28930068,1.344837785,1.317276955,1.402131438,1.420879602,1.245360851,1.358142495,1.335744977,1.181481123,0.846328259,0.846234202,0.914808512,0.939555347,0.967042565,0.946606338,
Aruba,ABW,WGI_DUMMY,,,,,,,,,,,,,,0.737520695,1.153230071,1.017273426,0.972128868,0.967198193,1.252343535,1.281883717,1.273587823,1.28464973,1.278063297,1.276832342,1.273994803,1.279492736,1.295654416,1.282823563,1.262565255,1.281850576,1.018155336,1.013163805,1.019175291,
Australia,AUS,WGI_DUMMY,,,,,,1.877355814,,1.798129678,,1.862088323,,1.761436343,1.895287037,2.005868912,1.942667723,1.950813174,2.00087285,2.027342558,2.041763067,2.02361083,2.037909031,1.977507234,1.777833104,1.849272132,1.841308117,1.772251964,1.752974749,1.767454863,1.788073659,1.632980585,1.707388759,1.764367104,1.781204939,
Australia,AUS,WGI_DUMMY,,,,,,1.800564528,,1.618118048,,1.732170224,,1.659198642,1.773278832,1.98494184,1.74618125,1.707899332,1.818955183,1.784767866,1.701963782,1.763391376,1.690138102,1.613148451,1.632453084,1.600894928,1.533252478,1.532188416,1.498386025,1.555989981,1.538690805,1.573353291,1.471722007,1.528432727,1.589879632,
Australia,AUS,WGI_DUMMY,,,,,,1.39611268,,1.06650126,,1.333964705,,1.18941462,0.878117204,0.935463548,0.891707659,0.9344666,0.92887491,0.954700112,0.855120599,0.888859868,0.935710073,0.997997224,1.031072974,1.032191992,0.873180687,1.033424497,0.876064062,0.971185446,0.917978942,0.862161875,0.835079134,0.983715951,0.917057216,
Australia,AUS,WGI_DUMMY,,,,,,1.713399053,,1.756802797,,1.722066879,,1.767046571,1.842772126,1.795392394,1.71280241,1.756738544,1.743887424,1.759083509,1.733008742,1.757718325,1.733153701,1.759779572,1.770100832,1.918630838,1.790320635,1.716665626,1.645957708,1.67466557,1.694617033,1.615003586,1.638559699,1.508818746,1.523183942,
Australia,AUS,WGI_DUMMY,,,,,,1.367597103,,1.432211161,,1.575613499,,1.421155572,1.575263143,1.711219549,1.599512935,1.62376225,1.684215903,1.766017556,1.816927552,1.695976734,1.852122784,1.778897166,1.79121995,1.857373476,1.777410269,1.885731459,1.923002362,1.896577239,1.864646077,1.813946962,1.831182718,1.894893289,1.942205548,
Australia,AUS,WGI_DUMMY,,,,,,1.440202951,,1.407491207,,1.471305132,,1.407233238,1.442127824,1.501541972,1.507055759,1.382794738,1.369199991,1.368076086,1.383790851,1.419765472,1.453721046,1.499190331,1.436368465,1.36167419,1.355731249,1.354100943,1.378636837,1.393785834,1.270365119,1.298984885,1.358125925,1.323906779,1.50660193,
Austria,AUT,WGI_DUMMY,,,,,,1.732163548,,1.79937923,,1.751058698,,1.915159225,1.963868618,2.026624441,1.912423491,1.904876947,2.003345251,1.828758121,1.6940341,1.596122026,1.47028935,1.427254438,1.537276983,1.466501832,1.472043753,1.496880531,1.50082016,1.568587184,1.521324396,1.477709413,1.24272728,1.258586764,1.133653283,
