Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cameroon,CMR,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.092004735,0.091257589,0.108313664,0.114991934,0.1119531,0.110140062,0.106071328,0.105434612,0.097140687,0.100432981,0.095831177,0.090396954,0.087498757,0.080324436,0.076265651,0.074874708,0.086706687,0.08846626,0.094116542,0.092804075,0.085191486,0.082319631,0.08537358,0.08757525,0.085818976,0.08672015,0.085065502,0.087355242,0.082208418,0.083141429,0.079298756,0.080889259,0.077831306,0.077831306
"Congo, Dem. Rep.",COD,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.025963389,0.024930148,0.027779002,0.045718361,0.04233399,0.047286923,0.050240106,0.050846699,0.049080347,0.041894791,0.041600702,0.042394553,0.048644876,0.043527413,0.045975414,0.04486265,0.046640672,0.045050705,0.042556495,0.041643069,0.044567413,0.037260692,0.047770994,0.056046354,0.033976219,0.025566799,0.028673582,0.026866807,0.027827099,0.028197983,0.026951754,0.027434071,0.024659127,0.024659127
"Congo, Rep.",COG,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.114727937,0.109041,0.108685719,0.105284291,0.128928714,0.148811441,0.154208231,0.176861987,0.18797093,0.189101815,0.177611504,0.110392467,0.136579631,0.133963571,0.148736514,0.153227215,0.145247004,0.141994157,0.141086365,0.138133547,0.123905055,0.104052339,0.127253544,0.115768691,0.125640813,0.133759843,0.140188873,0.16569942,0.18477998,0.201696258,0.190190822,0.206139349,0.189997808,0.189997808
Colombia,COL,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.166568353,0.166085963,0.166588752,0.156181702,0.155362955,0.149931391,0.157286662,0.158980511,0.144786505,0.148034969,0.144727243,0.135655832,0.129441315,0.122940152,0.120769787,0.107820769,0.104816104,0.101385737,0.106002689,0.104645018,0.105314907,0.101745168,0.110200721,0.107075156,0.10571166,0.106439243,0.095624264,0.097792674,0.095587561,0.100694998,0.098838893,0.096082656,0.104866545,0.104866545
Comoros,COM,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.047330989,0.037078193,0.035192243,0.037058415,0.036677253,0.038540231,0.037135802,0.046291364,0.046791031,0.070404855,0.072962624,0.073819727,0.093741944,0.099581772,0.093861993,0.109958831,0.07141031,0.06881564,0.080251475,0.090162817,0.077264931,0.075389193,0.08301513,0.070050162,0.075239993,0.085534861,0.104191888,0.109347291,0.120586906,0.12173107,0.120591749,0.109324627,0.106241025,0.106241025
Cabo Verde,CPV,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.095620821,0.085681009,0.076814516,0.075522447,0.066125003,0.071046367,0.064007474,0.057943705,0.053662185,0.138223071,0.154438835,0.163280205,0.157170907,0.15414974,0.225181993,0.228837771,0.222608072,0.202738576,0.20057958,0.209000508,0.234843502,0.200298252,0.194500905,0.202274957,0.202412711,0.203584838,0.205874433,0.199794068,0.198128849,0.263037403,0.250008553,0.225468123,0.207581129,0.207581129
Costa Rica,CRI,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.090147929,0.111081345,0.104253194,0.117041769,0.111547205,0.105098608,0.098259441,0.101396828,0.097117234,0.092744578,0.096629841,0.095363364,0.098265449,0.095826521,0.094933598,0.096099683,0.099067866,0.093791406,0.090795959,0.08522151,0.086815364,0.082117541,0.083267006,0.081539973,0.075874196,0.077250089,0.075491723,0.074118756,0.070254739,0.064212092,0.066435774,0.064110203,0.06463603,0.06463603
Caribbean small states,CSS,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.361530953,0.350158414,0.343343525,0.367552348,0.353796505,0.358307508,0.347579768,0.385958472,0.373492652,0.360170344,0.388805111,0.393083182,0.41165122,0.413748668,0.469900311,0.471596784,0.465335269,0.448539042,0.449915323,0.482651164,0.473637546,0.430126021,0.415298867,0.40726089,0.40671333,0.401170855,0.390074133,0.38579388,0.399066078,0.393728763,0.364603063,0.309096243,0.277238229,0.277238229
Cayman Islands,CYM,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,,,,,,,,,,,,,,,,0.036868429,0.044656353,0.048646065,0.053505328,0.059774033,0.047678748,0.045064082,0.050500715,0.05270061,0.055388414,0.056309084,0.05827056,0.053753177,0.072230831,0.061668798,0.065037137,0.062104147,0.062752514,0.062752514
Cyprus,CYP,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.319281029,0.310385809,0.322639113,0.31760377,0.286726852,0.30072257,0.297228058,0.293584679,0.29065025,0.284487575,0.268505748,0.265427254,0.28273725,0.267321852,0.258775908,0.250421824,0.247129114,0.243751252,0.242701351,0.226598419,0.218309516,0.210306401,0.203596708,0.219400292,0.21335789,0.210877843,0.203309545,0.187433944,0.17710097,0.172492428,0.15719761,0.152602966,0.148457265,0.148457265
Czechia,CZE,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.588876456,0.569097819,0.550905775,0.514337261,0.481433893,0.475335634,0.466400402,0.447115388,0.412598982,0.438442701,0.42572127,0.404072454,0.401184788,0.385576619,0.3556219,0.338036355,0.324232349,0.301138153,0.300245241,0.295439749,0.283393626,0.2757058,0.264942198,0.253699126,0.244084239,0.24129095,0.230605882,0.222153539,0.202663736,0.195554592,0.197453377,0.192537877,0.175362968,0.175362968
