Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Djibouti,DJI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,94.87000275,95.44999695,95.08000183,95.73999786,95.94000244,96.70999908,96.56999969,97.5,96.55000305,97.30000305,97.04000092,97.56999969,97.33999634,97.94999695,98.13999939,98.12000275,98.48000336,98.09999847,98.54000092,98.69999695,98.86000061,98.83999634,98.52999878,,
Algeria,DZA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,90,,,,92,,94,,,,,,,,,,97.4265213,74.02999878,,,,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,94.51902008,94.68521881,94.81758881,95.06517792,95.32441711,95.53912354,97.75427246,97.83454895,97.88587952,97.89592743,97.96116638,98.04068756,98.16532898,98.25283051,98.33480835,98.14103699,98.51077271,98.87509918,98.83865356,98.82472992,98.41075897,98.45198059,98.48715973,98.68418121,98.73166656,98.75243378,98.75273132,98.68138123,99.02615356,99.11595154,99.14208984,99.17637634,99.19991302,
Early-demographic dividend,EAR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,71.72251892,72.70329285,73.53022003,74.36975861,75.26435089,76.01795959,76.68287659,78.75102234,79.52868652,80.23088074,80.84329987,81.75605774,82.59706116,83.26421356,83.88397217,83.70378113,84.65000916,85.73523712,86.43328857,87.39071655,87.64839935,88.11231232,89.07061005,89.72728729,90.43392181,90.9436264,91.23808289,91.32805634,93.11923218,93.41790009,93.70574188,93.98940277,94.24230194,
East Asia & Pacific,EAS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,94.45285797,94.61244965,94.74430084,94.99510193,95.25785828,95.47281647,97.50920868,97.58870697,97.66889191,97.68473816,97.74899292,97.83569336,97.97911072,98.08097076,98.16943359,97.99960327,98.36116791,98.71460724,98.68031311,98.63607788,98.22686005,98.27249908,98.31104279,98.54441833,98.5921936,98.61473846,98.6164093,98.54853821,98.89816284,98.98870087,99.01895142,99.05323792,99.07862091,
Europe & Central Asia (excluding high income),ECA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,97.54827118,97.62689209,97.69181824,97.78917694,97.85021973,97.92542267,97.98809814,98.04902649,98.11170197,98.39626312,98.45542908,98.5121994,98.52055359,98.48744202,98.65628052,98.68044281,98.7507782,98.81056976,99.2088623,99.33004761,99.46782684,99.56742859,99.63188934,99.67311859,99.71125031,99.75157928,99.83254242,99.85762024,99.88858795,99.9022522,99.91181183,99.91539001,99.91895294,
Europe & Central Asia,ECS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,98.97711182,98.87599945,98.89707947,98.92906189,98.94822693,98.97058868,98.99227142,98.98903656,98.98545837,99.05545044,99.08061981,99.13468933,99.14530945,99.14118958,99.19489288,99.21154785,99.23343658,99.25775909,99.42508698,99.47506714,99.53301239,99.57034302,99.59764099,99.62142181,99.63529205,99.65659332,99.68231201,99.72927856,99.74642181,99.74642181,99.75614166,99.76069641,99.76435852,
